video_id,title,channel,category,published_at,views,likes,comments,fetched_at
-u9FCmRxq0M,like JENNIE | Choreography by the creators,WE DEM BOYZ 위댐보이즈,Entertainment,2025-03-10T12:05:22Z,732458,33616,812,2025-03-19 15:42:17.599765
8aCPVm2w0Og,"'WHAT? DOOR!' EP.29 | ""우리 제법 통하는 게 많네요..❤️"" : 아찔한 롤모델 소개팅 1편 - BOYNEXTDOOR (보이넥스트도어)",BOYNEXTDOOR,Music,2025-03-11T11:00:14Z,449832,25979,2009,2025-03-19 15:42:17.599765
IWtA79osNs0,얼큰하게 취한 추성훈 가족 모임 초대장 🎵하나의 사랑(2025)🎵,추성훈 ChooSungHoon,People & Blogs,2025-03-13T09:30:06Z,1920160,48114,3131,2025-03-19 15:42:17.599765
oyotmQ-vQLs,믹스커피를 가장 맛있게 먹는 바리스타만의 방법 (박태진 바리스타 1부),지식인사이드,Howto & Style,2025-03-11T11:05:04Z,1640770,46383,1195,2025-03-19 15:42:17.599765
LC0vWs8cs5I,한 번도 안 해봤던 제니의 이야기,요정재형,Entertainment,2025-03-09T08:00:19Z,1623669,45355,2525,2025-03-19 15:42:17.599765
lBimDKKNDDs,(4K) 제니(JENNIE) 'like JENNIE' | NPOP LIMITED EDITION - SIDE A,NPOP,People & Blogs,2025-03-09T12:00:48Z,3761407,241455,5527,2025-03-19 15:42:17.599765
st0KZRaD8XY,[4회 선공개] ((일동 당황)) 개발자들의 독특한(?) 유머까지 파악한 이제훈😲 | 〈협상의 기술〉 3/16(일) 밤 10시 30분 방송!,JTBC Drama,Entertainment,2025-03-16T00:59:57Z,135711,719,93,2025-03-19 15:42:17.599765
0X85ABWjA1s,이건 그냥 콘서트잖아?!💖 무대를 뒤집어 놓은🤩 손빈아 ‘연모’♬ TV CHOSUN 250313 방송 | [미스터트롯3 – 12회] | TV조선,TVCHOSUN - TV조선,Entertainment,2025-03-13T14:41:45Z,331526,7885,2300,2025-03-19 15:42:17.599765
Kn5waagedK8,[UFC] 알렉스 페레이라 vs 마고메드 안칼라예프,tvN SPORTS,Sports,2025-03-09T08:14:10Z,1569602,15930,5039,2025-03-19 15:42:17.599765
FxE6TJ5ZpN0,롬앤을 떠나며 나의 지난 10년 돌아보기,Saerom Min개코의 오픈스튜디오,Entertainment,2025-03-12T09:00:25Z,221575,3862,282,2025-03-19 15:42:17.599765
cNcl3yomZgM,에이즈 최초 감염자는 누구였을까? 미스터리 추적! | 에이즈의 역사,닥터프렌즈,Education,2025-03-11T12:05:00Z,374519,4921,385,2025-03-19 15:42:17.599765
